Hour,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Load 1,0.544181156,0.503066103,0.473728166,0.457491218,0.454773477,0.466620167,0.489477253,0.50822294,0.535958075,0.570522563,0.590940696,0.598675916,0.605505127,0.595052237,0.595679386,0.599790856,0.628153282,0.741045197,0.770034773,0.74724733,0.718397114,0.678536571,0.618536543,0.546202034
Load 2,0.491498201,0.460209031,0.443484222,0.439163678,0.44787455,0.480208946,0.540278689,0.598466842,0.63839717,0.685226424,0.727665491,0.716306592,0.699093992,0.679512082,0.668083539,0.653240319,0.679442438,0.780348375,0.808571372,0.778397142,0.747665477,0.699303065,0.628222926,0.564041713
Load 3,0.504390187,0.467177601,0.445853602,0.436236934,0.438675887,0.449756069,0.478606215,0.514912864,0.562996417,0.609895456,0.628850146,0.643484292,0.647735121,0.632473825,0.616445951,0.607177644,0.647665406,0.754425045,0.787317017,0.760627107,0.731846605,0.694703804,0.643344863,0.574843107
Load 4,0.513588779,0.480975596,0.455470341,0.445156738,0.446550466,0.455330982,0.477351846,0.508432013,0.558048724,0.5856445,0.603693323,0.610243888,0.616236877,0.627247274,0.629686369,0.617421532,0.653867539,0.7898954,0.830104445,0.809616668,0.777839636,0.725087037,0.645992961,0.558327441
Load 5,0.500766508,0.473100946,0.461742118,0.465156724,0.482438968,0.537491233,0.653031316,0.743902368,0.746341393,0.75735186,0.741533059,0.733101045,0.721114926,0.715052222,0.702648027,0.689686326,0.715609728,0.849407567,0.903553965,0.895261239,0.861533044,0.795539957,0.692613141,0.596515609
Load 6,0.535470284,0.504459902,0.490731622,0.487386731,0.503623609,0.554773477,0.659581882,0.756027846,0.755121909,0.76445986,0.761811762,0.748222912,0.737073157,0.732473754,0.72717763,0.723693309,0.771846647,0.871080069,0.909825742,0.89351915,0.85261317,0.788153239,0.686202006,0.58878046
Load 7,0.52780485,0.492961644,0.475818759,0.471707289,0.485853574,0.536445936,0.633867553,0.72766542,0.736585295,0.749686355,0.75149823,0.748083553,0.733031331,0.72891979,0.721742075,0.724459888,0.763972069,0.873728166,0.909268236,0.892961573,0.85735186,0.788571386,0.687386731,0.588083595
Load 8,0.526062689,0.491707275,0.475330968,0.47094071,0.486480794,0.538188097,0.641045197,0.731846605,0.736236863,0.741184627,0.748641058,0.743484292,0.728850146,0.717421603,0.716515595,0.717212459,0.763553922,0.856794354,0.890731622,0.87804871,0.842996502,0.778466857,0.680487734,0.587665449
Load 9,0.521533073,0.486620152,0.467665463,0.461533044,0.47379781,0.525087108,0.622020864,0.721672431,0.727526132,0.744041727,0.74724733,0.752822243,0.741184627,0.733449407,0.723135874,0.728571358,0.775609685,0.848153268,0.875679329,0.839303108,0.799024348,0.741811776,0.673728166,0.594773448
Load 10,0.533588765,0.491567916,0.470592278,0.459790884,0.46209055,0.473100946,0.512264695,0.572334438,0.626271763,0.667038313,0.709337951,0.719999915,0.712195051,0.694494731,0.67268287,0.669546982,0.704181185,0.790661978,0.815470298,0.785714215,0.752682884,0.714006926,0.657630577,0.585923288
