DateTime,Meter 01,Meter 02,Meter 03,Meter 04,Meter 05,Meter 06,Meter 07,Meter 08,Meter 09,Meter 010
30:00.0,0,1.437,0.028,0.06,0,0.067,0.055,0.21,0.059,0.419
00:00.0,0,1.401,0.047,0.039,0,0.042,0.054,0.282,0.058,0.439
30:00.0,0,0.909,0.091,0.11,0.055,0.067,0.099,0.284,0.059,0.311
00:00.0,0,0.073,0.11,0.046,0.052,0.04,0.069,0.236,0.059,0.371
30:00.0,0,0.478,0.064,0.058,0.048,0.067,0.054,0.222,0.058,0.404
00:00.0,0,0.135,0.081,0.074,0,0.04,0.085,0.213,0.058,0.421
30:00.0,0,0.417,0.063,0.079,0,0.098,0.082,0.217,0.057,0.451
00:00.0,0,0.098,0.081,0.046,0,0.038,0.053,0.281,0.058,0.387
30:00.0,0,0.076,0.099,0.07,0.041,0.062,0.075,0.275,0.057,0.427
00:00.0,0,0.307,0.085,0.088,0.053,0.041,0.195,0.237,0.057,0.671
30:00.0,0,0.091,0.031,0.053,0.05,0.272,0.342,0.215,0.056,0.524
00:00.0,0,0.079,0.031,0.068,0.016,0.441,0.162,0.388,0.057,0.405
30:00.0,0,0.396,0.043,0.099,0,0.137,0.087,0.344,0.056,2.099
00:00.0,0,1.193,0.168,0.28,0,0.195,0.068,0.393,0.058,1.057
30:00.0,0,0.269,0.584,0.26,0.018,0.257,0.649,0.616,0.288,0.413
00:00.0,0,0.238,0.477,0.062,0.054,0.154,0.231,0.392,0.074,0.2
30:00.0,0,0.183,0.144,0.06,0.05,0.076,0.892,0.427,0.137,0.23
00:00.0,0,0.183,0.083,0.109,0.022,0.172,0.675,0.749,0.115,0.338
30:00.0,0,0.307,0.066,0.061,0,0.082,1.016,0.809,0.082,0.388
00:00.0,0,0.352,0.048,0.168,0,0.092,0.444,0.449,0.064,0.474
30:00.0,0,0.369,0.053,0.154,0.017,0.243,0.091,0.466,0.069,0.804
00:00.0,0,0.315,0.066,0.765,0.054,0.153,0.122,0.41,0.061,0.597
30:00.0,0.143,0.252,0.094,0.674,0.05,0.158,0.11,0.417,0.144,0.587
