,MAC000002,MAC000003,MAC000004,MAC000005,MAC000006,MAC000007,MAC000008,MAC000009,MAC000010,MAC000011,MAC000012,MAC000013,MAC000014,MAC000015,MAC000016,MAC000017,MAC000018,MAC000019,MAC000020,MAC000021,MAC000022,MAC000023,MAC000024,MAC000025,MAC000026,MAC000027,MAC000028,MAC000029,MAC000030,MAC000031,MAC000032,MAC000033,MAC000034,MAC000035,MAC000036,MAC000037,MAC000038,MAC000039,MAC000040,MAC000041,MAC000042,MAC000043,MAC000044,MAC000045,MAC000046,MAC000047,MAC000048,MAC000049,MAC000050,MAC000051
2012-10-12,7.098,7.561,0.725,2.866,2.162,4.954,10.588,6.3,13.546,20.539,3.147,3.73,2.959,14.819,2.947,3.295,10.04,4.203,6.153,18.361,7.763,11.658,19.916,3.438,12.708,3.997,3.071,3.109,4.502,11.602,3.527,2.912,3.397,17.183,1.374,0.014,7.611,10.188,15.707,10.699,7.49,2.197,5.379,14.694,10.401,3.701,3.662,24.092,20.379,3.801
2012-10-13,11.087,32.218,1.407,4.79,3.906,10.6,23.1,6.208,26.804,19.841,1.517,4.399,5.175,16.264,5.848,7.474,18.445,7.825,7.33,26.788,11.781,21.522,24.15,4.833,19.492,9.287,5.294,3.292,15.311,18.084,17.67,6.305,19.126,21.765,2.873,0.445,12.417,7.395,13.399,11.301,14.316,3.046,11.212,26.594,19.2,6.575,6.036,37.61,26.929,16.414
2012-10-14,13.223,19.609,1.59,5.447,3.587,10.428,18.865,7.861,26.667,23.914,1.204,4.966,4.27,24.624,5.285,8.988,15.911,8.031,6.184,24.606,11.213,14.564,30.145,2.844,13.826,7.525,5.075,2.473,7.175,23.495,18.413,6.884,15.772,17.048,2.652,0.017,17.118,11.662,16.949,9.929,12.533,3.43,13.483,36.691,16.977,5.944,10.063,44.618,32.001,9.444
2012-10-15,10.257,21.694,1.552,6.703,3.416,11.652,21.753,7.526,21.289,17.679,1.153,5.072,7.288,25.142,5.986,6.512,17.666,6.881,8.763,19.13,11.047,11.032,35.199,5.242,16.011,12.684,5.426,4.715,21.28,25.788,21.753,9.9,16.096,14.574,3.02,0.0,22.6,9.747,22.386,7.936,14.92,3.111,17.303,35.782,24.725,6.737,11.769,36.99,21.531,15.721
2012-10-16,9.769,15.817,1.6,5.056,3.739,3.688,20.695,9.362,24.998,22.879,1.108,5.609,4.056,27.389,5.749,7.207,18.674,8.001,10.81,25.739,13.744,18.789,27.315,5.224,16.989,13.845,5.17,3.769,27.192,37.186,19.146,7.337,17.904,29.464,2.667,0.0,10.795,9.953,22.957,7.5,14.866,3.338,13.991,31.993,17.176,6.625,5.913,35.829,26.581,22.71
2012-10-17,10.885,15.634,1.544,3.663,3.631,3.236,17.107,8.15,30.954,19.746,1.161,5.864,5.22,16.616,5.87,6.997,14.689,8.628,10.551,29.329,10.661,19.384,23.068,5.66,32.375,10.501,6.337,2.818,6.87,24.541,21.856,5.647,17.05,32.333,2.601,0.0,8.518,6.202,20.512,9.753,10.439,3.013,13.286,34.435,28.143,6.179,4.551,37.242,25.458,26.313
2012-10-18,10.751,18.373,1.456,3.863,3.578,2.933,20.735,8.753,25.98,26.747,1.158,6.349,6.237,19.438,5.684,10.775,13.413,6.987,6.35,30.651,11.914,13.272,27.232,2.361,20.028,8.273,4.902,2.348,6.183,19.626,19.008,8.833,15.754,24.593,2.816,0.0,11.888,9.443,22.218,10.903,15.594,3.263,15.659,28.345,23.295,6.831,4.812,34.528,20.159,14.116
2012-10-19,8.431,19.237,1.608,3.935,3.103,3.027,12.384,8.986,25.583,19.003,1.152,5.926,6.472,20.379,5.711,6.261,10.325,7.278,8.231,28.852,10.895,17.909,38.964,6.397,26.764,7.523,5.835,2.32,8.18,27.419,17.137,9.165,17.465,36.298,3.11,0.0,14.057,13.011,28.851,11.924,10.143,3.226,14.256,30.28,18.221,6.675,8.664,36.569,19.619,23.671
2012-10-20,17.578,14.952,1.616,2.612,3.096,3.011,25.405,7.96,30.106,21.339,1.117,7.567,5.352,24.196,6.336,7.26,8.953,7.204,7.862,27.286,12.773,25.934,32.031,4.812,28.19,9.566,6.16,2.733,11.208,16.21,21.091,8.493,19.433,35.754,2.72,0.0,15.091,11.786,17.752,9.758,11.506,3.195,15.735,32.462,19.771,6.948,29.402,43.503,39.33,23.172
2012-10-21,24.49,13.759,1.696,3.208,3.132,3.007,15.111,7.677,22.905,12.528,1.197,7.904,5.563,22.03,5.368,9.397,9.374,7.964,9.029,26.755,12.01,11.417,47.652,4.695,22.081,8.358,6.369,2.638,6.824,21.232,21.734,6.777,16.027,33.772,2.812,0.0,11.189,8.31,18.568,9.25,10.981,4.814,15.479,28.276,13.233,5.113,9.807,43.247,35.743,20.718
